gene_id	gene_name	SS01	SS03
ENSG00000135631	RAB11FIP5	2353	2191
ENSG00000214513	NOTO	0	0
ENSG00000135632	SMYD5	1945	2109
ENSG00000135617	PRADC1	1207	1154
ENSG00000135624	CCT7	15041	16472
ENSG00000163013	FBXO41	1860	2028
ENSG00000135625	EGR4	324	149
ENSG00000116127	ALMS1	1028	815
ENSG00000144035	NAT8	0	0
ENSG00000144034	TPRKB	910	1019
ENSG00000144048	DUSP11	934	842
ENSG00000187833	C2orf78	1	9
ENSG00000124356	STAMBP	2871	3049
ENSG00000163017	ACTG2	51	54
ENSG00000114956	DGUOK	3540	3543
ENSG00000187605	TET3	4092	2410
ENSG00000163170	BOLA3	730	780
ENSG00000114978	MOB1A	5088	3658
ENSG00000065911	MTHFD2	2528	2619
ENSG00000264324	RP11-287D1.3	6	13
ENSG00000188687	SLC4A5	21	13
ENSG00000204843	DCTN1	8806	10478
ENSG00000159239	C2orf81	274	321
ENSG00000005448	WDR54	1466	1572
ENSG00000114993	RTKN	1596	1864
ENSG00000115274	INO80B	94	73
ENSG00000274049	INO80B-WBP1	0	0
ENSG00000239779	WBP1	831	559
ENSG00000115275	MOGS	4627	4643
ENSG00000204822	MRPL53	178	168
ENSG00000135637	CCDC142	451	330
ENSG00000115282	TTC31	1256	906
ENSG00000179528	LBX2	15	12
ENSG00000115289	PCGF1	978	956
ENSG00000115297	TLX2	18	16
ENSG00000144045	DQX1	8	14
ENSG00000115307	AUP1	8247	7909
ENSG00000115317	HTRA2	1934	1988
ENSG00000115318	LOXL3	3213	2863
ENSG00000115325	DOK1	626	691
ENSG00000159374	M1AP	11	3
ENSG00000135622	SEMA4F	1058	1097
ENSG00000159399	HK2	2454	3929
ENSG00000115350	POLE4	624	622
ENSG00000115353	TACR1	12	2
ENSG00000115363	EVA1A	186	136
ENSG00000115364	MRPL19	1526	1616
ENSG00000005436	GCFC2	849	914
ENSG00000176204	LRRTM4	554	743
ENSG00000143954	REG3G	2	8
ENSG00000172023	REG1B	12	8
ENSG00000115386	REG1A	4	4
ENSG00000172016	REG3A	0	0
ENSG00000066032	CTNNA2	4067	5802
ENSG00000162951	LRRTM1	287	349
ENSG00000163541	SUCLG1	4157	4056
ENSG00000115423	DNAH6	39	45
ENSG00000186854	TRABD2A	31	40
ENSG00000279992	AC022210.1	0	0
ENSG00000034510	TMSB10	50960	55467
ENSG00000176407	KCMF1	5085	3776
ENSG00000152284	TCF7L1	130	78
ENSG00000152291	TGOLN2	10501	7765
ENSG00000042445	RETSAT	2173	1800
ENSG00000115459	ELMOD3	1159	1568
ENSG00000042493	CAPG	302	241
ENSG00000152292	SH2D6	44	42
ENSG00000168906	MAT2A	10016	8400
ENSG00000115486	GGCX	2583	2270
ENSG00000118640	VAMP8	3	11
ENSG00000281331	AC016753.1	0	0
ENSG00000168899	VAMP5	592	681
ENSG00000168894	RNF181	2792	2846
ENSG00000168890	TMEM150A	657	682
ENSG00000168883	USP39	4660	4746
ENSG00000168887	C2orf68	1247	1065
ENSG00000168878	SFTPB	0	0
ENSG00000115523	GNLY	12	6
ENSG00000168874	ATOH8	4584	4943
ENSG00000115525	ST3GAL5	4481	5544
ENSG00000068654	POLR1A	3049	2362
ENSG00000132300	PTCD3	4697	4688
ENSG00000132305	IMMT	5041	5486
ENSG00000132313	MRPL35	2317	2507
ENSG00000068615	REEP1	2493	2900
ENSG00000115548	KDM3A	11187	11429
ENSG00000115561	CHMP3	2740	2375
ENSG00000249884	RNF103-CHMP3	6	6
ENSG00000239305	RNF103	3349	3193
ENSG00000153561	RMND5A	4876	4731
ENSG00000153563	CD8A	8	13
ENSG00000172116	CD8B	0	1
ENSG00000187627	RGPD1	1	1
ENSG00000183281	PLGLB1	11	12
ENSG00000125551	PLGLB2	5	3
ENSG00000185304	RGPD2	0	8
ENSG00000172086	KRCC1	1188	1219
ENSG00000115593	SMYD1	10	9
ENSG00000163586	FABP1	1	2
ENSG00000144115	THNSL2	443	363
ENSG00000214336	FOXI3	3	0
ENSG00000172073	TEX37	2	0
ENSG00000172071	EIF2AK3	4031	4105
ENSG00000153574	RPIA	829	1027
ENSG00000259916	RP11-407P15.2	0	0
ENSG00000163060	TEKT4	4	1
ENSG00000172005	MAL	23	18
ENSG00000144029	MRPS5	3276	3471
ENSG00000144026	ZNF514	502	491
ENSG00000275111	ZNF2	725	747
ENSG00000233757	AC092835.2	39	34
ENSG00000155066	PROM2	141	73
ENSG00000115041	KCNIP3	695	827
ENSG00000115042	FAHD2A	757	706
ENSG00000144015	TRIM43	0	1
ENSG00000174501	ANKRD36C	225	227
ENSG00000186281	GPAT2	1	5
ENSG00000274286	ADRA2B	7	3
ENSG00000188886	ASTL	5	2
ENSG00000158050	DUSP2	71	56
ENSG00000084090	STARD7	10347	12269
ENSG00000135956	TMEM127	5341	4415
ENSG00000144021	CIAO1	4999	4148
ENSG00000144028	SNRNP200	16860	15586
ENSG00000198885	ITPRIPL1	436	398
ENSG00000121152	NCAPH	1689	1660
ENSG00000163121	NEURL3	58	99
ENSG00000196843	ARID5A	5425	4506
ENSG00000114982	KANSL3	4417	3806
ENSG00000249715	FER1L5	70	50
ENSG00000114988	LMAN2L	3154	2256
ENSG00000158158	CNNM4	1669	1610
ENSG00000168763	CNNM3	1217	1210
ENSG00000163126	ANKRD23	81	60
ENSG00000213337	ANKRD39	232	246
ENSG00000168758	SEMA4C	2929	2528
ENSG00000168754	FAM178B	5	3
ENSG00000144199	FAHD2B	110	124
ENSG00000135976	ANKRD36	170	144
ENSG00000196912	ANKRD36B	49	44
ENSG00000135940	COX5B	6477	6209
ENSG00000115073	ACTR1B	3957	3115
ENSG00000228486	LINC01125	145	73
ENSG00000115085	ZAP70	14	6
ENSG00000075568	TMEM131	8054	7261
ENSG00000168658	VWA3B	39	36
ENSG00000144191	CNGA3	809	981
ENSG00000040933	INPP4A	2698	2387
ENSG00000183513	COA5	2118	1864
ENSG00000115446	UNC50	1905	1997
ENSG00000071073	MGAT4A	1642	1543
ENSG00000196872	KIAA1211L	1312	380
ENSG00000135951	TSGA10	197	240
ENSG00000241962	RP11-111H13.1	33	46
ENSG00000273045	C2orf15	5	2
ENSG00000144182	LIPT1	246	278
ENSG00000273155	RP11-38C17.1	0	0
ENSG00000158411	MITD1	818	854
ENSG00000185414	MRPL30	1127	1444
ENSG00000185674	LYG2	5	7
ENSG00000144214	LYG1	155	181
ENSG00000115514	TXNDC9	1060	1083
ENSG00000158417	EIF5B	7230	7972
ENSG00000135945	REV1	2589	2727
ENSG00000144218	AFF3	1891	1611
ENSG00000170500	LONRF2	6166	3688
ENSG00000115526	CHST10	2959	3284
ENSG00000204640	NMS	0	0
ENSG00000115539	PDCL3	583	550
ENSG00000170485	NPAS2	1894	1380
ENSG00000071082	RPL31	6962	6346
ENSG00000204634	TBC1D8	423	236
ENSG00000158435	CNOT11	2093	2121
ENSG00000163162	RNF149	1113	1191
ENSG00000175874	CREG2	37	16
ENSG00000196460	RFX8	27	11
ENSG00000071054	MAP4K4	15570	12890
ENSG00000115590	IL1R2	7	11
ENSG00000115594	IL1R1	123	51
ENSG00000115598	IL1RL2	2	1
ENSG00000115602	IL1RL1	43	61
ENSG00000115604	IL18R1	13	14
ENSG00000115607	IL18RAP	1	3
ENSG00000180251	SLC9A4	6	8
ENSG00000115616	SLC9A2	19	18
ENSG00000135953	MFSD9	839	520
ENSG00000170417	TMEM182	221	223
ENSG00000198914	POU3F3	10673	11443
ENSG00000135972	MRPS9	1231	1396
ENSG00000135973	GPR45	27	32
ENSG00000135966	TGFBRAP1	2378	2750
ENSG00000135974	C2orf49	1977	2069
ENSG00000115641	FHL2	1636	1191
ENSG00000071051	NCK2	3721	2879
ENSG00000119147	C2orf40	5	5
ENSG00000115652	UXS1	2550	2460
ENSG00000153165	RGPD3	0	0
ENSG00000144057	ST6GAL2	194	151
ENSG00000196862	RGPD4	0	0
ENSG00000115665	SLC5A7	0	0
ENSG00000196228	SULT1C3	0	0
ENSG00000198203	SULT1C2	41	32
ENSG00000198075	SULT1C4	206	173
ENSG00000135968	GCC2	1031	852
ENSG00000169756	LIMS1	3638	3120
ENSG00000153201	RANBP2	5704	4367
ENSG00000163006	CCDC138	449	334
ENSG00000135960	EDAR	0	0
ENSG00000172985	SH3RF3	1037	1091
ENSG00000279515	AC109344.1	0	0
ENSG00000186522	SEPT10	895	894
ENSG00000198142	SOWAHC	1300	1227
ENSG00000015568	RGPD5	0	0
ENSG00000256977	LIMS3	0	0
ENSG00000144063	MALL	0	3
ENSG00000144061	NPHP1	285	264
ENSG00000175701	LINC00116	682	754
ENSG00000257207	AC108938.5	0	0
ENSG00000256671	LIMS4	0	0
ENSG00000183054	RGPD6	0	0
ENSG00000169679	BUB1	1755	2474
ENSG00000153093	ACOXL	2	2
ENSG00000153094	BCL2L11	2074	1897
ENSG00000153107	ANAPC1	522	430
ENSG00000153208	MERTK	1413	1121
ENSG00000153214	TMEM87B	1710	1443
ENSG00000144152	FBLN7	296	279
ENSG00000144161	ZC3H8	577	562
ENSG00000188177	ZC3H6	562	597
ENSG00000169629	RGPD8	42	22
ENSG00000114999	TTL	4345	5654
ENSG00000125630	POLR1B	1788	1567
ENSG00000125611	CHCHD5	707	728
ENSG00000144136	SLC20A1	21342	13166
ENSG00000144130	NT5DC4	1	9
ENSG00000169607	CKAP2L	1566	1737
ENSG00000115008	IL1A	155	108
ENSG00000125538	IL1B	40	23
ENSG00000125571	IL37	1	0
ENSG00000136688	IL36G	5	22
ENSG00000136694	IL36A	0	0
ENSG00000136696	IL36B	24	4
ENSG00000136695	IL36RN	16	1
ENSG00000136697	IL1F10	0	0
ENSG00000136689	IL1RN	4	4
ENSG00000125637	PSD4	130	50
ENSG00000125618	PAX8	172	174
ENSG00000136682	CBWD2	361	431
ENSG00000184492	FOXD4L1	9	4
ENSG00000144134	RABL2A	184	155
ENSG00000115084	SLC35F5	1696	1667
ENSG00000115091	ACTR3	11443	10437
ENSG00000175497	DPP10	9	9
ENSG00000088205	DDX18	4222	3640
ENSG00000125633	CCDC93	4260	3280
ENSG00000125629	INSIG2	2523	3125
ENSG00000163064	EN1	5369	3269
ENSG00000019169	MARCO	0	1
ENSG00000144119	C1QL2	111	88
ENSG00000115107	STEAP3	2599	2068
ENSG00000186132	C2orf76	508	593
ENSG00000155368	DBI	26397	28134
ENSG00000171227	TMEM37	44	37
ENSG00000080293	SCTR	5	0
ENSG00000163075	CFAP221	18	20
ENSG00000144120	TMEM177	319	364
ENSG00000088179	PTPN4	970	1034
ENSG00000115109	EPB41L5	3233	2941
ENSG00000226479	TMEM185B	824	542
ENSG00000144118	RALB	3225	2633
ENSG00000281676	AC012363.1	0	0
ENSG00000163083	INHBB	1330	1878
ENSG00000074047	GLI2	727	549
ENSG00000115112	TFCP2L1	73	35
ENSG00000074054	CLASP1	5659	4899
ENSG00000155438	NIFK	2634	2577
ENSG00000211460	TSN	5167	5342
ENSG00000155052	CNTNAP5	128	108
ENSG00000136732	GYPC	213	187
ENSG00000237524	AC114783.1	0	0
ENSG00000136717	BIN1	3992	3717
ENSG00000186684	CYP27C1	237	113
ENSG00000163161	ERCC3	4596	4301
ENSG00000169967	MAP3K2	3236	2577
ENSG00000115718	PROC	10	14
ENSG00000163166	IWS1	4058	4308
ENSG00000169994	MYO7B	9	3
ENSG00000072163	LIMS2	70	43
ENSG00000144230	GPR17	54	70
ENSG00000136709	WDR33	4828	4618
ENSG00000173349	SFT2D3	860	1079
ENSG00000144231	POLR2D	2988	2994
ENSG00000144233	AMMECR1L	3306	3038
ENSG00000136715	SAP130	3488	2867
ENSG00000136731	UGGT1	4955	4269
ENSG00000136720	HS6ST1	8195	8703
ENSG00000222014	RAB6C	0	1
ENSG00000196604	POTEF	0	0
ENSG00000152076	CCDC74B	207	173
ENSG00000136699	SMPD4	2937	2077
ENSG00000152082	MZT2B	3555	3252
ENSG00000152086	TUBA3E	0	0
ENSG00000136710	CCDC115	1364	1094
ENSG00000136718	IMP4	3604	3609
ENSG00000072135	PTPN18	1195	1491
ENSG00000196834	POTEI	1	0
ENSG00000152093	CFC1B	0	0
ENSG00000184761	AC013269.5	0	0
ENSG00000183292	TISP43	0	0
ENSG00000136698	CFC1	0	0
ENSG00000222038	POTEJ	0	0
ENSG00000173302	GPR148	0	0
ENSG00000178171	AMER3	2	2
ENSG00000136002	ARHGEF4	261	233
ENSG00000152102	FAM168B	11290	8976
ENSG00000115762	PLEKHB2	8281	7830
ENSG00000188219	POTEE	0	0
ENSG00000233087	WTH3DI	6	4
ENSG00000173272	MZT2A	1143	1080
ENSG00000075886	TUBA3D	0	0
ENSG00000163040	CCDC74A	457	478
ENSG00000163046	ANKRD30BL	0	0
ENSG00000183840	GPR39	446	374
ENSG00000150551	LYPD1	15761	13133
ENSG00000176771	NCKAP5	326	275
ENSG00000152127	MGAT5	3275	2837
ENSG00000152128	TMEM163	146	218
ENSG00000153086	ACMSD	0	0
ENSG00000082258	CCNT2	4807	3478
ENSG00000176601	MAP3K19	0	0
ENSG00000115839	RAB3GAP1	4074	3212
ENSG00000121988	ZRANB3	252	243
ENSG00000048991	R3HDM1	2743	1404
ENSG00000144224	UBXN4	8980	6816
ENSG00000115850	LCT	3	0
ENSG00000076003	MCM6	2602	3508
ENSG00000115866	DARS	3057	2863
ENSG00000121966	CXCR4	991	1052
ENSG00000144229	THSD7B	49	45
ENSG00000150540	HNMT	140	182
ENSG00000144228	SPOPL	845	535
ENSG00000144227	NXPH2	5	1
ENSG00000168702	LRP1B	2630	2636
ENSG00000115919	KYNU	361	193
ENSG00000075884	ARHGAP15	12	8
ENSG00000121964	GTDC1	862	893
ENSG00000169554	ZEB2	7303	6312
ENSG00000121989	ACVR2A	1269	1381
ENSG00000115947	ORC4	2425	2811
ENSG00000204406	MBD5	1686	1408
ENSG00000135999	EPC2	2740	2478
ENSG00000168280	KIF5C	9369	7736
ENSG00000150556	LYPD6B	60	37
ENSG00000187123	LYPD6	1399	969
ENSG00000168288	MMADHC	4075	4750
ENSG00000115963	RND3	10153	7084
ENSG00000184898	RBM43	288	303
ENSG00000123609	NMI	401	536
ENSG00000123610	TNFAIP6	727	668
ENSG00000080345	RIF1	3567	3094
ENSG00000183091	NEB	93	98
ENSG00000162980	ARL5A	1182	747
ENSG00000283228	CTD-2021K4.1	0	0
ENSG00000182389	CACNB4	698	526
ENSG00000115145	STAM2	1787	1614
ENSG00000157827	FMNL2	5745	6079
ENSG00000196504	PRPF40A	6016	6278
ENSG00000177917	ARL6IP6	1140	1176
ENSG00000177519	RPRM	177	206
ENSG00000144278	GALNT13	336	244
ENSG00000162989	KCNJ3	19	38
ENSG00000153234	NR4A2	947	643
ENSG00000115159	GPD2	1545	1376
ENSG00000136542	GALNT5	353	189
ENSG00000136541	ERMN	79	86
ENSG00000115165	CYTIP	6	1
ENSG00000123612	ACVR1C	41	62
ENSG00000115170	ACVR1	2205	1851
ENSG00000007001	UPP2	30	36
ENSG00000153237	CCDC148	54	61
ENSG00000144283	PKP4	2390	2259
ENSG00000281472	AC005042.1	0	0
ENSG00000163331	DAPL1	25	37
ENSG00000115183	TANC1	9015	5021
ENSG00000196151	WDSUB1	737	747
ENSG00000123636	BAZ2B	2684	2543
ENSG00000136536	MARCH7	5179	5740
ENSG00000241399	CD302	154	167
ENSG00000248672	LY75-CD302	0	0
ENSG00000054219	LY75	5	10
ENSG00000153246	PLA2R1	10	7
ENSG00000115221	ITGB6	10	1
ENSG00000153250	RBMS1	3518	3749
ENSG00000136560	TANK	1991	1782
ENSG00000115233	PSMD14	7034	8058
ENSG00000136535	TBR1	37	14
ENSG00000144290	SLC4A10	414	464
ENSG00000197635	DPP4	142	149
ENSG00000115263	GCG	1	3
ENSG00000078098	FAP	2298	1575
ENSG00000115267	IFIH1	486	611
ENSG00000115271	GCA	699	690
ENSG00000184611	KCNH7	114	108
ENSG00000182263	FIGN	1565	1227
ENSG00000115290	GRB14	709	854
ENSG00000082438	COBLL1	274	143
ENSG00000169507	SLC38A11	45	25
ENSG00000153253	SCN3A	3543	3371
ENSG00000136531	SCN2A	1514	1629
ENSG00000178662	CSRNP3	1311	1368
ENSG00000115339	GALNT3	65	56
ENSG00000123607	TTC21B	1948	1969
ENSG00000144285	SCN1A	1823	1452
ENSG00000169432	SCN9A	590	493
ENSG00000136546	SCN7A	4	9
ENSG00000163092	XIRP2	12	7
ENSG00000172318	B3GALT1	2519	2822
ENSG00000198648	STK39	2339	2893
ENSG00000172292	CERS6	3147	3793
ENSG00000163072	NOSTRIN	6	4
ENSG00000152253	SPC25	622	908
ENSG00000152254	G6PC2	0	2
ENSG00000073734	ABCB11	1	1
ENSG00000073737	DHRS9	61	8
ENSG00000081479	LRP2	137	110
ENSG00000163093	BBS5	157	154
ENSG00000251569	RP11-724O16.1	0	0
ENSG00000239474	KLHL41	8	22
ENSG00000138399	FASTKD1	874	1079
ENSG00000138398	PPIG	3229	3391
ENSG00000154479	CCDC173	123	96
ENSG00000144362	PHOSPHO2	59	53
ENSG00000213160	KLHL23	1443	1832
ENSG00000138385	SSB	4931	3642
ENSG00000138382	METTL5	1592	2080
ENSG00000144357	UBR3	3370	2765
ENSG00000071909	MYO3B	97	97
ENSG00000204335	SP5	9	7
ENSG00000204334	ERICH2	122	163
ENSG00000128683	GAD1	6500	7931
ENSG00000115806	GORASP2	6595	5541
ENSG00000198586	TLK1	3468	4635
ENSG00000123600	METTL8	712	763
ENSG00000115827	DCAF17	1000	1067
ENSG00000071967	CYBRD1	1752	1575
ENSG00000077380	DYNC1I2	3330	3661
ENSG00000115840	SLC25A12	1669	2073
ENSG00000128708	HAT1	2418	3523
ENSG00000172878	METAP1D	954	1048
ENSG00000144355	DLX1	1989	2107
ENSG00000115844	DLX2	1167	877
ENSG00000091409	ITGA6	1535	1311
ENSG00000152256	PDK1	1195	1584
ENSG00000091428	RAPGEF4	642	615
ENSG00000091436	AC013461.1	1802	1234
ENSG00000144354	CDCA7	1278	1295
ENSG00000172845	SP3	4891	5337
ENSG00000138430	OLA1	3672	4706
ENSG00000217236	SP9	138	128
ENSG00000138433	CIR1	2283	1927
ENSG00000144306	SCRN3	1272	1641
ENSG00000163328	GPR155	3411	5088
ENSG00000115935	WIPF1	3814	2197
ENSG00000138435	CHRNA1	318	388
ENSG00000128656	CHN1	4612	6918
ENSG00000115966	ATF2	4000	3326
ENSG00000154518	ATP5G3	8061	9447
ENSG00000144320	LNPK	4486	4827
ENSG00000174279	EVX2	30	26
ENSG00000128714	HOXD13	761	655
ENSG00000170178	HOXD12	6	3
ENSG00000128713	HOXD11	329	432
ENSG00000128710	HOXD10	1575	1584
ENSG00000128709	HOXD9	491	406
ENSG00000175879	HOXD8	104	133
ENSG00000128652	HOXD3	94	85
ENSG00000278500	AC009336.19	29	19
ENSG00000170166	HOXD4	32	21
ENSG00000128645	HOXD1	225	163
ENSG00000128654	MTX2	2186	2816
ENSG00000170144	HNRNPA3	9652	10180
ENSG00000116044	NFE2L2	17564	18237
ENSG00000018510	AGPS	2402	2207
ENSG00000196659	TTC30B	225	191
ENSG00000197557	TTC30A	473	383
ENSG00000128655	PDE11A	36	28
ENSG00000155636	RBM45	532	605
ENSG00000079156	OSBPL6	2712	2374
ENSG00000180228	PRKRA	3073	3435
ENSG00000204311	DFNB59	47	89
ENSG00000079150	FKBP7	828	854
ENSG00000116095	PLEKHA3	1925	1689
ENSG00000155657	TTN	0	1
ENSG00000283186	TTN	0	0
ENSG00000163492	CCDC141	0	4
ENSG00000187231	SESTD1	1937	2122
ENSG00000144331	ZNF385B	12	14
ENSG00000163510	CWC22	1704	1811
ENSG00000170035	UBE2E3	3319	3485
ENSG00000115232	ITGA4	1147	761
ENSG00000188452	CERKL	72	56
ENSG00000162992	NEUROD1	287	450
ENSG00000138434	SSFA2	11542	10544
ENSG00000150722	PPP1R1C	848	582
ENSG00000115252	PDE1A	199	345
ENSG00000077232	DNAJC10	7466	5690
ENSG00000162998	FRZB	147	171
ENSG00000061676	NCKAP1	12681	12598
ENSG00000162999	DUSP19	152	166
ENSG00000163002	NUP35	1018	1222
ENSG00000170396	ZNF804A	773	699
ENSG00000188738	FSIP2	2	0
ENSG00000065548	ZC3H15	4953	4885
ENSG00000281192	AC018867.1	0	0
ENSG00000138448	ITGAV	8460	6925
ENSG00000144369	FAM171B	4851	6505
ENSG00000163012	ZSWIM2	12	19
ENSG00000064989	CALCRL	305	397
ENSG00000003436	TFPI	5136	6496
ENSG00000144366	GULP1	166	119
ENSG00000174325	DIRC1	0	0
ENSG00000168542	COL3A1	61666	52750
ENSG00000204262	COL5A2	8643	6684
ENSG00000115368	WDR75	1900	2088
ENSG00000138449	SLC40A1	422	636
ENSG00000138381	ASNSD1	2961	3148
ENSG00000151687	ANKAR	147	122
ENSG00000128694	OSGEPL1	446	633
ENSG00000128699	ORMDL1	3663	3103
ENSG00000064933	PMS1	854	1065
ENSG00000187699	C2orf88	14	10
ENSG00000138379	MSTN	58	60
ENSG00000198130	HIBCH	1101	1271
ENSG00000151689	INPP1	1428	1393
ENSG00000151690	MFSD6	1390	1785
ENSG00000189362	NEMP2	248	184
ENSG00000138386	NAB1	3166	2443
ENSG00000115419	GLS	5325	4764
ENSG00000115415	STAT1	5903	6520
ENSG00000138378	STAT4	48	31
ENSG00000128641	MYO1B	507	464
ENSG00000173559	NABP1	255	190
ENSG00000168497	SDPR	44	34
ENSG00000144339	TMEFF2	2486	2801
ENSG00000196950	SLC39A10	2554	2675
ENSG00000118997	DNAH7	54	50
ENSG00000081320	STK17B	1318	1019
ENSG00000138411	HECW2	144	73
ENSG00000144395	CCDC150	368	267
ENSG00000119041	GTF3C3	1744	1711
ENSG00000187944	C2orf66	224	100
ENSG00000197121	PGAP1	9924	9229
ENSG00000065413	ANKRD44	76	49
ENSG00000283224	AC013264.1	0	0
ENSG00000115524	SF3B1	25591	20683
ENSG00000115520	COQ10B	3631	2638
ENSG00000144381	HSPD1	14069	13472
ENSG00000115541	HSPE1	2868	2086
ENSG00000270757	HSPE1-MOB4	0	0
ENSG00000115540	MOB4	2026	2484
ENSG00000162944	RFTN2	935	1101
ENSG00000247626	MARS2	899	847
ENSG00000152430	BOLL	0	0
ENSG00000115896	PLCL1	1542	1313
ENSG00000119042	SATB2	3220	2481
ENSG00000226124	FTCDNL1	48	52
ENSG00000178074	C2orf69	1118	1161
ENSG00000162971	TYW5	718	723
ENSG00000162972	C2orf47	722	710
ENSG00000196141	SPATS2L	5952	5378
ENSG00000155729	KCTD18	641	465
ENSG00000163535	SGO2	1037	1406
ENSG00000138356	AOX1	75	56
ENSG00000280298	AC007163.1	0	0
ENSG00000082153	BZW1	5908	5857
ENSG00000013441	CLK1	7670	7688
ENSG00000240344	PPIL3	791	936
ENSG00000196290	NIF3L1	1045	1342
ENSG00000115942	ORC2	1237	1163
ENSG00000155744	FAM126B	1250	1013
ENSG00000119013	NDUFB3	1824	2347
ENSG00000003402	CFLAR	3088	2133
ENSG00000003400	CASP10	29	20
ENSG00000064012	CASP8	340	237
ENSG00000155749	ALS2CR12	35	29
ENSG00000115993	TRAK2	3020	2778
ENSG00000082146	STRADB	1307	1393
ENSG00000155754	ALS2CR11	0	2
ENSG00000155755	TMEM237	1582	1580
ENSG00000082126	MPP4	175	158
ENSG00000003393	ALS2	3581	2768
ENSG00000138395	CDK15	18	17
ENSG00000155760	FZD7	1311	1049
ENSG00000182329	KIAA2012	1	1
ENSG00000283310	KIAA2012	0	0
ENSG00000116030	SUMO1	3999	4531
ENSG00000055044	NOP58	4366	4290
ENSG00000204217	BMPR2	4717	3611
ENSG00000138439	FAM117B	973	1095
ENSG00000163596	ICA1L	1183	1131
ENSG00000138442	WDR12	1645	1490
ENSG00000138380	CARF	358	318
ENSG00000144426	NBEAL1	142	107
ENSG00000119004	CYP20A1	431	373
ENSG00000138443	ABI2	10319	7224
ENSG00000173166	RAPH1	2329	1919
ENSG00000178562	CD28	0	1
ENSG00000163599	CTLA4	1	6
ENSG00000163600	ICOS	1	0
ENSG00000116117	PARD3B	57	69
ENSG00000118257	NRP2	3878	2433
ENSG00000114933	INO80D	1251	891
ENSG00000023228	NDUFS1	4995	4905
ENSG00000114942	EEF1B2	1526	1677
ENSG00000183671	GPR1	39	46
ENSG00000204186	ZDBF2	1771	1115
ENSG00000279921	AC017081.1	0	0
ENSG00000114948	ADAM23	1704	1926
ENSG00000235118	AC010731.4	3	5
ENSG00000232125	DYTN	1	0
ENSG00000138400	MDH1B	55	83
ENSG00000118246	FASTKD2	1457	1546
ENSG00000144410	CPO	15	18
ENSG00000118263	KLF7	2728	2772
ENSG00000118260	CREB1	2435	2160
ENSG00000144401	METTL21A	628	674
ENSG00000163249	CCNYL1	1907	1383
ENSG00000163251	FZD5	8945	6695
ENSG00000178385	PLEKHM3	1014	821
ENSG00000118231	CRYGD	1	0
ENSG00000163254	CRYGC	0	0
ENSG00000182187	CRYGB	3	1
ENSG00000168582	CRYGA	58	60
ENSG00000188674	C2orf80	4864	7083
ENSG00000138413	IDH1	15279	16322
ENSG00000115020	PIKFYVE	3614	2727
ENSG00000144407	PTH2R	2	3
ENSG00000078018	MAP2	27950	30421
ENSG00000144406	UNC80	913	672
ENSG00000197713	RPE	2099	1949
ENSG00000144445	KANSL1L	936	926
ENSG00000115361	ACADL	6	2
ENSG00000279317	AC006994.3	0	0
ENSG00000168530	MYL1	2	3
ENSG00000115365	LANCL1	4247	5533
ENSG00000021826	CPS1	919	936
ENSG00000178568	ERBB4	104	70
ENSG00000030419	IKZF2	183	126
ENSG00000144451	SPAG16	1101	1229
ENSG00000174453	VWC2L	598	860
ENSG00000138376	BARD1	1200	1248
ENSG00000144452	ABCA12	331	353
ENSG00000138363	ATIC	2788	3373
ENSG00000115414	FN1	392783	193580
ENSG00000118242	MREG	915	815
ENSG00000115425	PECR	292	323
ENSG00000163449	TMEM169	1107	1602
ENSG00000079246	XRCC5	14323	16198
ENSG00000144583	MARCH4	890	1017
ENSG00000138375	SMARCAL1	999	1096
ENSG00000197756	RPL37A	21094	22168
ENSG00000115457	IGFBP2	89079	114201
ENSG00000115461	IGFBP5	161451	111922
ENSG00000118245	TNP1	0	0
ENSG00000278951	AC007557.5	0	0
ENSG00000231672	DIRC3	218	329
ENSG00000079308	TNS1	3882	3049
ENSG00000188282	RUFY4	10	4
ENSG00000180871	CXCR2	2	1
ENSG00000163464	CXCR1	1	0
ENSG00000163466	ARPC2	11385	10377
ENSG00000179921	GPBAR1	31	8
ENSG00000127837	AAMP	6590	5556
ENSG00000127838	PNKD	2332	2209
ENSG00000135926	TMBIM1	1610	1442
ENSG00000158428	CATIP	3	1
ENSG00000018280	SLC11A1	12	16
ENSG00000144579	CTDSP1	1828	2023
ENSG00000127831	VIL1	22	9
ENSG00000135913	USP37	1287	1273
ENSG00000144580	CNOT9	3862	3612
ENSG00000115556	PLCD4	781	970
ENSG00000115568	ZNF142	1273	1125
ENSG00000074582	BCS1L	1396	1383
ENSG00000163481	RNF25	2292	1887
ENSG00000163482	STK36	2768	2106
ENSG00000135912	TTLL4	1615	1348
ENSG00000135929	CYP27A1	185	176
ENSG00000115592	PRKAG3	0	0
ENSG00000115596	WNT6	62	26
ENSG00000135925	WNT10A	111	138
ENSG00000171450	CDK5R2	2501	2353
ENSG00000163497	FEV	166	138
ENSG00000163499	CRYBA2	11	12
ENSG00000181378	CFAP65	11	11
ENSG00000163501	IHH	1	3
ENSG00000187736	NHEJ1	4	1
ENSG00000280537	RP11-33O4.2	9	2
ENSG00000213901	SLC23A3	15	6
ENSG00000115649	CNPPD1	3980	3965
ENSG00000144567	FAM134A	7903	5989
ENSG00000158552	ZFAND2B	1964	2013
ENSG00000115657	ABCB6	774	713
